epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.821,0.75115,2.48466,1.19365,0.9461,0.21115,0.65601,0.48808,0.85974,2.88995,1.35297,0.000466807,0.000466807,0.000466807
2,1437.68,0.82909,1.87559,1.23123,0.67603,0.59974,0.67018,0.47153,1.06091,2.26677,1.53105,0.000849769,0.000849769,0.000849769
3,2127.69,0.90351,1.66382,1.28048,0.70561,0.61668,0.70917,0.4722,1.10602,2.00531,1.67334,0.00113842,0.00113842,0.00113842
4,2817.55,0.87357,1.55055,1.25804,0.76772,0.66979,0.76525,0.49681,1.16977,1.92889,1.58644,0.00100459,0.00100459,0.00100459
5,3599.83,0.83902,1.35761,1.23464,0.70735,0.66165,0.76343,0.5575,0.98936,1.69478,1.42839,0.000863116,0.000863116,0.000863116
6,4309.11,0.79331,1.17872,1.19133,0.88757,0.77542,0.86923,0.64947,0.90258,1.23937,1.30619,0.000721645,0.000721645,0.000721645
7,4967.07,0.73459,1.06552,1.13671,0.83677,0.76486,0.87262,0.67802,0.76278,1.28956,1.20181,0.000580174,0.000580174,0.000580174
8,5639.6,0.68975,0.92753,1.12195,0.8615,0.81952,0.89693,0.69729,0.80753,1.02255,1.25522,0.000438703,0.000438703,0.000438703
9,7708.24,0.65797,0.84057,1.08943,0.92459,0.80195,0.91732,0.7392,0.73915,0.97326,1.20168,0.000297232,0.000297232,0.000297232
10,11003.5,0.60628,0.78401,1.03453,0.90023,0.834,0.93087,0.75808,0.68323,0.86595,1.14069,0.000155761,0.000155761,0.000155761
