epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7057,1.90672,4.59086,2.163,0.09649,0.5,0.10553,0.03844,1.85385,5.46784,3.127,0,0,0
2,21.003,1.89526,4.44384,2.2539,0.0947,0.5,0.10779,0.0398,1.85392,5.40954,3.11905,5.76358e-06,5.76358e-06,5.76358e-06
3,26.7008,1.80476,4.26907,1.94536,0.09259,0.5,0.10779,0.0398,1.8849,5.36299,3.10546,1.12943e-05,1.12943e-05,1.12943e-05
4,32.5646,1.88976,4.64809,2.43321,0.09069,0.5,0.11056,0.04146,1.83529,5.38011,3.04205,1.65922e-05,1.65922e-05,1.65922e-05
5,38.3902,1.65665,4.38092,2.08371,0.08958,0.5,0.11401,0.04353,1.81164,5.30543,3.00047,2.16572e-05,2.16572e-05,2.16572e-05
6,44.2454,1.72441,4.17739,1.9843,0.08889,0.5,0.11401,0.04664,1.76138,5.40616,2.92718,2.64894e-05,2.64894e-05,2.64894e-05
7,50.498,1.62568,4.22195,1.97483,0.06705,0.5,0.11401,0.04664,1.78555,5.2196,2.7884,3.10887e-05,3.10887e-05,3.10887e-05
8,56.2679,1.61608,4.48494,1.99885,0.05385,0.5,0.11845,0.04975,1.85315,5.2274,2.76964,3.54552e-05,3.54552e-05,3.54552e-05
9,61.9437,1.80417,4.35168,2.00278,0.03896,0.5,0.12437,0.04975,1.87685,5.22526,2.76666,3.95889e-05,3.95889e-05,3.95889e-05
10,67.9025,1.61746,4.28892,2.00455,0.03869,0.5,0.12437,0.04975,1.86786,5.1708,2.71492,4.34897e-05,4.34897e-05,4.34897e-05
11,73.552,1.40531,4.28026,1.95941,0.05566,0.75,0.14649,0.05915,1.75648,5.24272,2.64561,4.71576e-05,4.71576e-05,4.71576e-05
12,79.5512,1.45215,4.33061,1.89674,0.0536,0.75,0.17893,0.09383,1.62814,5.32174,2.54317,5.05927e-05,5.05927e-05,5.05927e-05
13,85.0805,1.34027,4.04386,1.72483,0.0429,0.75,0.22038,0.10757,1.59877,5.27105,2.43921,5.37949e-05,5.37949e-05,5.37949e-05
14,90.9147,1.54002,4.30569,1.89719,0.03853,0.75,0.22111,0.10779,1.65615,5.04874,2.42352,5.67643e-05,5.67643e-05,5.67643e-05
15,97.2655,1.70801,4.2329,2.12155,0.037,0.75,0.22192,0.10804,1.61996,4.96579,2.41648,5.95009e-05,5.95009e-05,5.95009e-05
16,103.217,1.5225,3.95258,1.90371,0.03598,0.75,0.22111,0.10779,1.57902,4.9978,2.35351,6.20046e-05,6.20046e-05,6.20046e-05
17,109.778,1.61309,4.28709,1.89637,0.03488,0.75,0.21973,0.10738,1.54643,4.98203,2.26548,6.42755e-05,6.42755e-05,6.42755e-05
18,116.114,1.30142,4.03132,1.6844,0.03488,0.75,0.21973,0.10738,1.54643,4.98203,2.26548,6.63135e-05,6.63135e-05,6.63135e-05
19,121.806,1.14577,4.02445,1.57393,0.02962,0.75,0.21914,0.1072,1.4866,5.02591,2.18543,6.81186e-05,6.81186e-05,6.81186e-05
20,127.954,1.24275,4.01832,1.65786,0.02962,0.75,0.21914,0.1072,1.4866,5.02591,2.18543,6.96909e-05,6.96909e-05,6.96909e-05
21,133.626,1.10606,4.00511,1.62322,0.02803,0.75,0.21811,0.11735,1.39679,5.01418,2.08633,7.10304e-05,7.10304e-05,7.10304e-05
22,139.687,1.08235,3.83392,1.53489,0.02803,0.75,0.21811,0.11735,1.39679,5.01418,2.08633,7.2137e-05,7.2137e-05,7.2137e-05
23,145.479,1.13277,3.89932,1.55388,0.02307,0.75,0.21724,0.1189,1.45254,4.85687,2.07946,7.30108e-05,7.30108e-05,7.30108e-05
24,151.201,1.31555,4.07947,1.7111,0.02307,0.75,0.21724,0.1189,1.45254,4.85687,2.07946,7.36517e-05,7.36517e-05,7.36517e-05
25,157.207,1.16031,3.82801,1.57746,0.01985,0.75,0.18334,0.08854,1.48655,4.74139,2.02631,7.40598e-05,7.40598e-05,7.40598e-05
26,163.955,1.27575,3.87241,1.67144,0.01985,0.75,0.18334,0.08854,1.48655,4.74139,2.02631,7.4235e-05,7.4235e-05,7.4235e-05
27,170.247,1.48363,4.20889,2.08317,0.01737,0.75,0.1827,0.08809,1.48177,4.82867,1.97218,7.41774e-05,7.41774e-05,7.41774e-05
28,176.216,1.24164,3.79357,1.65292,0.01737,0.75,0.1827,0.08809,1.48177,4.82867,1.97218,7.38869e-05,7.38869e-05,7.38869e-05
29,182.004,1.1565,3.87188,1.44816,0.01951,1,0.18611,0.08195,1.43015,4.84968,1.95467,7.33636e-05,7.33636e-05,7.33636e-05
30,187.883,1.11043,3.91061,1.56764,0.01951,1,0.18611,0.08195,1.43015,4.84968,1.95467,7.26074e-05,7.26074e-05,7.26074e-05
31,193.879,1.0558,3.66466,1.50445,0.01908,1,0.32179,0.12833,1.42068,4.7862,1.9356,7.16184e-05,7.16184e-05,7.16184e-05
32,200.207,1.26301,4.04177,1.67943,0.01908,1,0.32179,0.12833,1.42068,4.7862,1.9356,7.03965e-05,7.03965e-05,7.03965e-05
33,205.955,1.17425,3.61859,1.53192,0.01674,1,0.29937,0.11439,1.4374,4.82245,1.93718,6.89418e-05,6.89418e-05,6.89418e-05
34,211.644,1.05415,3.5802,1.4886,0.01674,1,0.29937,0.11439,1.4374,4.82245,1.93718,6.72543e-05,6.72543e-05,6.72543e-05
